year,month,date,temp,humidity,windspeed,casual,registered
2011,1,14,0,54,8,54,1367
2011,1,18,2,86,10,9,674
2011,1,20,4,54,13,83,1844
2011,1,28,2,79,8,38,1129
2011,2,4,2,59,8,88,1620
2011,2,7,5,74,2,120,1592
2011,2,15,5,31,20,140,1675
2011,2,19,11,19,36,532,1103
2011,3,2,8,45,21,231,1903
2011,3,9,6,78,15,191,1700
2011,3,30,6,65,11,168,1368
2011,4,1,6,69,18,307,1920
2011,4,2,7,65,13,898,1354
2011,4,16,12,89,24,121,674
2011,4,18,16,54,11,669,2760
2011,4,19,16,67,10,409,2795
2011,4,26,22,73,23,678,3722
2011,5,9,17,59,12,664,3698
2011,5,13,16,86,12,692,3413
2011,5,18,18,87,14,536,3319
2011,5,23,22,81,16,836,3438
2011,6,11,26,65,10,1729,3237
2011,6,15,21,47,11,769,4411
2011,6,16,22,69,14,545,3222
2011,6,18,25,67,8,1807,3312
2011,6,21,24,77,11,774,4061
2011,6,22,26,71,11,661,3846
2011,6,23,26,70,16,746,4044
2011,6,27,24,66,7,854,3854
2011,7,15,23,59,12,1318,4220
2011,8,9,28,57,10,907,3695
2011,8,11,26,42,11,812,3980
2011,8,12,25,42,8,1051,3854
2011,8,16,25,58,16,721,4004
2011,9,6,17,89,24,204,2506
2011,9,15,19,71,19,428,3231
2011,9,26,23,85,7,684,3946
2011,9,29,21,70,11,653,4186
2011,10,6,15,62,9,639,4126
2011,10,9,17,73,4,2397,3114
2011,10,12,18,91,17,217,2199
2011,10,19,17,90,17,254,2170
2011,10,25,14,62,11,695,3992
2011,10,30,7,62,12,885,2446
2011,11,5,7,52,13,1156,2770
2011,11,13,13,46,19,1004,2713
2011,11,14,17,59,21,595,3891
2011,11,30,7,61,19,188,3425
2011,12,2,7,63,6,268,3672
2011,12,21,12,86,15,107,2553
2012,1,1,9,69,13,686,1608
2012,1,3,-1,44,25,89,2147
2012,1,9,3,70,6,106,2270
2012,1,23,2,91,7,145,2287
2012,1,25,6,64,11,467,3803
2012,1,31,10,42,18,324,4185
2012,2,5,4,69,12,318,2629
2012,2,9,4,56,13,163,3667
2012,2,11,3,73,20,192,1977
2012,2,21,6,59,14,163,3614
2012,3,19,18,73,11,982,5171
2012,3,22,18,83,7,1334,5537
2012,3,26,13,48,27,795,4763
2012,4,3,14,40,6,1348,5424
2012,4,21,19,68,19,2541,4083
2012,4,28,10,49,8,1120,3100
2012,5,3,18,77,9,764,5657
2012,5,18,19,52,9,1521,6118
2012,5,22,21,77,8,819,5254
2012,6,2,19,55,12,2795,5325
2012,6,15,22,59,12,1563,6102
2012,6,24,27,48,9,2551,4340
2012,6,29,31,49,11,829,4634
2012,8,6,27,65,8,1233,5780
2012,8,12,25,53,8,2182,4362
2012,8,14,26,69,11,1128,5656
2012,8,15,25,62,11,1198,6149
2012,8,30,25,59,5,1172,6541
2012,9,1,27,64,7,2352,3788
2012,9,13,21,64,5,1054,6750
2012,9,17,19,73,10,1022,5847
2012,9,19,18,54,14,788,6803
2012,9,24,16,49,9,1001,6435
2012,10,9,13,76,13,601,5791
2012,10,13,10,49,10,2252,4857
2012,10,21,14,51,11,2132,4692
2012,10,29,13,88,25,2,20
2012,11,2,9,52,18,618,5229
2012,11,12,15,74,11,1097,5172
2012,11,17,7,55,12,1313,4316
2012,11,21,9,61,6,615,4531
2012,11,26,7,54,2,337,4750
2012,11,28,6,51,14,198,5062
2012,12,1,6,81,3,951,4240
2012,12,30,4,48,24,364,1432
